timestamp,accX,accY,accZ,step
827316,-58,97,209,0
827327,-58,96,211,0
827338,-59,95,202,0
827349,-59,100,211,0
827359,-57,90,203,0
827370,-57,93,204,0
827381,-57,97,210,0
827391,-56,95,209,0
827402,-56,93,206,0
827413,-56,93,206,0
827424,-56,95,208,0
827435,-57,91,201,0
827446,-54,93,212,0
827457,-52,103,207,0
827468,-55,100,212,0
827479,-56,83,199,0
827490,-51,93,205,0
827501,-55,92,206,0
827512,-56,94,210,0
827523,-104,91,237,0
827534,-20,103,209,0
827545,-36,72,186,0
827556,-23,92,198,0
827567,-18,108,210,0
827578,-16,104,206,0
827589,23,128,215,0
827600,-7,129,214,0
827611,-4,100,179,0
827622,-2,134,217,0
827633,5,139,221,0
827644,0,118,201,0
827655,-2,110,198,0
827666,1,128,215,0
827677,-5,115,201,0
827688,-2,112,199,0
827699,-5,120,210,0
827710,-15,131,218,0
827721,-15,122,208,0
827732,-4,111,195,0
827743,-2,108,209,0
827754,-10,113,205,0
827765,-7,109,202,0
827776,-8,111,201,0
827787,-11,113,201,0
827798,-9,113,201,0
827809,-6,112,200,0
827820,-4,112,202,0
827831,-4,116,205,0
827842,-3,117,205,0
827853,-3,120,208,0
827865,-1,120,211,0
827876,1,116,212,0
827887,1,113,208,0
827898,3,111,206,0
827909,5,106,201,0
827920,6,117,213,0
827931,3,111,205,0
827942,2,108,201,0
827953,1,111,201,0
827964,1,114,202,0
827975,0,114,205,0
827986,-2,116,205,0
827997,-3,117,205,0
828008,-5,118,206,0
828019,-4,118,206,0
828030,-2,119,204,0
828041,-1,120,203,0
828052,0,122,201,0
828063,0,122,201,0
828074,-2,123,202,0
828085,-3,124,201,0
828096,-5,126,204,0
828107,-4,127,206,0
828118,-3,129,209,0
828129,-2,127,206,0
828140,0,129,209,0
828151,1,128,209,0
828162,3,123,203,0
828173,3,122,200,0
828184,0,120,201,0
828195,-2,121,202,0
828206,-2,122,205,0
828217,-1,119,205,0
828228,-1,117,204,0
828239,0,115,206,0
828250,1,115,208,0
828261,1,115,207,0
828272,1,115,210,0
828283,1,116,210,0
828294,3,118,215,0
828305,4,115,215,0
828316,6,112,214,0
828327,3,113,212,0
828338,2,111,205,0
828350,1,113,204,0
828361,0,111,202,0
828372,0,109,202,0
828383,-4,118,204,0
828394,-2,117,197,0
828405,-8,111,200,0
828416,-6,117,201,0
828427,-6,119,203,0
828438,-7,117,204,0
828449,-11,116,204,0
828460,-12,114,204,0
828471,-12,110,207,0
828482,-14,111,206,0
828493,-14,113,206,0
828504,-13,114,206,0
828515,-10,114,206,0
828526,-10,114,208,0
828537,-8,111,209,0
828548,-7,108,209,0
828559,-7,107,209,0
828570,-7,108,208,0
828581,-8,108,207,0
828592,-8,107,204,0
828603,-6,105,204,0
828614,-4,106,202,0
828625,-1,110,202,0
828636,-1,114,204,0
828647,-3,115,204,0
828658,0,122,204,0
828669,1,123,204,0
828680,2,122,204,0
828691,1,120,204,0
828702,0,115,204,0
828713,-1,111,201,0
828724,-2,110,202,0
828735,-4,115,203,0
828746,-6,116,209,0
828757,-7,115,215,0
828768,-8,115,216,0
828779,-4,111,211,0
828790,-2,117,208,0
828801,-3,118,205,0
828812,-8,116,205,0
828823,-9,115,205,0
828834,-5,116,207,0
828845,3,121,206,0
828856,16,122,205,0
828867,24,122,205,0
828879,34,126,200,0
828890,37,130,200,0
828901,31,129,199,0
828912,17,128,195,0
828923,-25,123,196,0
828934,-37,126,202,0
828945,-36,129,208,0
828956,-31,127,213,0
828967,-24,122,211,0
828978,-20,120,213,0
828989,-12,120,209,0
829000,-3,119,206,0
829011,4,119,210,0
829022,11,116,215,0
829033,15,114,217,0
829044,17,110,215,0
829055,19,110,212,0
829066,20,108,209,0
829077,20,110,206,0
829088,16,112,199,0
829099,9,115,198,0
829110,5,120,202,0
829121,7,125,201,0
829132,3,127,206,0
829143,3,126,208,0
829154,13,124,206,0
829165,18,127,204,0
829176,20,116,203,0
829187,24,116,197,0
829198,19,112,204,0
829209,33,120,195,0
829220,28,118,206,0
829231,26,134,196,0
829242,8,124,217,0
829253,18,133,204,0
829264,9,125,200,0
829275,6,128,201,0
829286,0,114,194,0
829297,-3,112,200,0
829308,4,97,205,0
829319,17,100,203,0
829330,24,108,214,0
829341,21,98,224,0
829352,28,90,217,0
829363,18,100,220,0
829374,12,113,215,0
829385,15,105,215,0
829396,16,106,206,0
829407,5,109,217,0
829418,4,116,206,0
829429,-8,113,208,0
829440,-5,126,202,0
829451,-15,126,199,0
829462,-17,134,202,0
829473,-17,138,202,0
829484,-5,141,203,0
829495,2,136,212,0
829506,-4,133,214,0
829517,-5,135,199,0
829528,2,138,208,0
829539,-4,118,220,0
829550,8,115,198,0
829561,5,129,200,0
829572,3,133,206,0
829583,-12,117,219,0
829594,-19,109,208,0
829605,-3,136,200,0
829616,-10,138,204,0
829627,-7,128,206,0
829638,-16,123,210,0
829649,-12,123,198,0
829660,-4,124,193,0
829671,-9,119,199,0
829682,-16,107,198,0
829693,-21,107,207,0
829704,-18,105,208,0
829715,-19,97,202,0
829726,-22,121,198,0
829737,-26,131,203,0
829748,-35,124,215,0
829759,-40,119,213,0
829770,-32,123,210,0
829781,-21,124,198,0
829792,-15,117,198,0
829803,-15,109,196,0
829814,-13,107,196,0
829825,-16,98,195,0
829836,-20,104,200,0
829847,-21,104,200,0
829858,-24,113,201,0
829869,-17,124,206,0
829880,-29,118,215,0
829891,-22,111,207,0
829902,-17,116,203,0
829913,-10,116,203,0
829924,-11,112,203,0
829935,-9,112,199,0
829946,-14,111,208,0
829957,-21,119,213,0
829968,-19,117,208,0
829979,-23,113,215,0
829990,-16,121,212,0
830001,-16,119,209,0
830012,-21,117,209,0
830023,-25,108,202,0
830034,-14,105,192,0
830045,-17,105,204,0
830056,0,103,196,0
830067,0,96,200,0
830078,4,93,203,0
830089,3,98,217,0
830100,0,107,222,0
830111,5,110,207,0
830122,-12,116,223,0
830133,-5,118,214,0
830144,-11,125,208,0
830155,-22,116,210,0
830166,-10,112,203,0
830177,-11,116,208,0
830188,-1,113,201,0
830199,-3,102,205,0
830210,-1,94,196,0
830221,1,93,212,0
830232,21,121,226,0
830243,33,110,209,0
830254,32,82,200,0
830265,27,72,199,0
830276,19,92,201,0
830287,2,116,206,0
830298,-20,111,217,0
830309,-15,126,217,0
830320,-16,119,223,0
830331,-16,110,219,0
830342,-12,110,205,0
830353,-7,115,210,0
830364,-2,120,212,0
830375,-1,115,215,0
830386,1,112,215,0
830397,12,115,212,0
830408,26,112,218,0
830419,28,104,213,0
830430,21,105,212,0
830441,10,105,206,0
830452,8,113,200,0
830463,-1,110,207,0
830474,3,107,210,0
830485,2,98,213,0
830496,4,98,213,0
830507,7,105,211,0
830518,3,108,211,0
830529,9,111,213,0
830540,4,103,217,0
830551,12,108,203,0
830562,4,106,211,0
830573,20,101,199,0
830584,16,102,204,0
830595,16,96,217,0
830606,22,103,215,0
830617,19,95,223,0
830628,23,96,225,0
830639,22,92,217,0
830650,19,98,212,0
830661,15,97,215,0
830672,9,84,211,0
830683,11,100,210,0
830694,12,110,208,0
830705,8,107,216,0
830716,9,111,218,0
830727,13,112,216,0
830738,13,115,222,0
830749,13,116,228,0
830760,12,106,200,0
830771,3,98,201,0
830782,9,111,196,0
830793,-2,115,202,0
830804,-2,115,206,0
830815,-4,118,217,0
830826,6,120,208,0
830837,3,108,223,0
830848,3,114,195,0
830859,20,143,204,0
830870,-10,112,223,0
830881,-3,117,211,0
830892,-8,113,207,0
830903,-12,100,198,0
830914,-6,111,191,0
830925,-12,105,194,0
830936,-12,113,193,0
830947,-16,124,196,0
830958,-23,113,202,0
830969,-31,127,202,0
830980,-35,126,204,0
830991,-29,135,189,0
831002,-19,115,184,0
831013,-4,108,191,0
831024,10,97,194,0
831035,7,116,210,0
831046,2,130,209,0
831057,-18,128,222,0
831068,-33,137,224,0
831079,-46,151,220,0
831090,-27,144,199,0
831101,-33,143,213,0
831112,-14,134,207,0
831123,-23,112,212,0
831134,-12,113,206,0
831145,0,108,194,0
831156,6,101,193,0
831167,6,92,190,0
831178,0,90,197,0
831189,-8,93,211,0
831200,-14,103,211,0
831211,-19,121,216,0
831222,-14,117,214,0
831233,-18,118,216,0
831244,-6,117,209,0
831255,-8,104,193,0
831266,-3,117,208,0
831277,-12,103,187,0
831288,-9,111,201,0
831299,-17,110,209,0
831310,-21,111,209,0
831321,-21,118,211,0
831332,-11,110,207,0
831343,-19,115,208,0
831354,-3,113,203,0
831365,9,111,207,0
831376,5,107,215,0
831387,-7,100,222,0
831398,-11,105,218,0
831409,-17,111,210,0
831420,-2,109,211,0
831431,-11,109,210,0
831442,-7,108,208,0
831453,-4,103,212,0
831464,0,96,212,0
831475,-6,75,239,0
831486,28,140,243,0
831497,41,120,204,0
831508,29,49,164,0
831519,-7,58,165,0
831530,-20,78,179,0
831541,-12,102,199,0
831552,-10,118,223,0
831563,-13,122,232,0
831574,-13,119,223,0
831585,-8,130,229,0
831596,-6,129,238,0
831607,-6,129,225,0
831618,-13,110,226,0
831629,15,93,197,0
831640,9,87,204,0
831651,7,93,199,0
831662,4,109,209,0
831673,-16,140,217,0
831684,-16,134,207,0
831695,-14,120,204,0
831706,-9,122,203,0
831717,-8,129,202,0
831728,-11,118,212,0
831739,-11,117,217,0
831750,-7,116,211,0
831761,-1,114,215,0
831772,2,103,219,0
831783,-3,101,218,0
831794,-6,94,216,0
831805,-10,104,217,0
831816,-7,116,225,0
831827,-5,115,230,0
831838,-11,126,239,0
831849,-7,118,220,0
831860,-26,108,228,0
831871,-19,93,213,0
831882,-16,78,218,0
831893,-19,78,204,0
831904,-27,81,197,0
831915,-37,77,196,0
831926,-17,100,182,0
831937,-36,120,195,0
831948,-33,123,193,0
831959,-24,130,198,0
831970,-22,130,195,0
831981,-18,109,193,0
831992,-11,103,184,0
832003,-4,104,184,0
832014,5,102,173,0
832025,15,116,185,0
832036,23,124,199,0
832047,16,123,213,0
832058,23,129,221,0
832069,20,138,226,0
832080,10,143,217,0
832091,-7,129,217,0
832102,-6,135,206,0
832113,-25,122,210,0
832124,-21,124,200,0
832135,-28,117,212,0
832146,-22,117,201,0
832157,-16,124,211,0
832168,-4,120,193,0
832179,-17,111,216,0
832190,-6,146,184,0
832201,-25,122,212,0
832212,-12,131,200,0
832223,-22,124,206,0
832234,-16,129,199,0
832246,-15,126,201,0
832257,-15,124,199,0
832268,-13,125,201,0
832279,-11,120,209,0
832290,-8,123,202,0
832301,-12,122,196,0
832312,-16,124,195,0
832323,-19,122,195,0
832334,-18,119,199,0
832345,-8,122,197,0
832356,-10,111,202,0
832367,-6,114,202,0
832378,-7,110,211,0
832389,-7,112,213,0
832400,-7,108,215,0
832411,-1,107,210,0
832422,-9,100,215,0
832433,-7,102,203,0
832444,-11,109,207,0
832455,-9,104,212,0
832466,-11,105,198,0
832477,-17,107,224,0
832488,-2,116,206,0
832499,-25,107,236,0
832510,30,113,177,0
832521,1,73,193,0
832532,-11,89,192,0
