timestamp,accX,accY,accZ,step
918084,22,0,227,0
918095,33,4,244,0
918106,38,-7,230,0
918117,44,-14,221,0
918129,43,-8,222,0
918140,39,0,223,0
918151,39,-6,220,0
918161,34,-5,229,0
918171,26,1,231,0
918182,24,5,229,0
918193,23,6,236,0
918204,23,1,236,0
918215,24,-4,224,0
918226,13,6,231,0
918237,22,3,234,0
918248,31,-3,225,0
918259,35,-3,235,0
918270,37,-2,233,0
918281,38,0,234,0
918292,41,0,232,0
918303,40,-3,230,0
918314,36,-6,221,0
918325,33,-14,223,0
918336,31,-12,223,0
918347,31,-15,223,0
918358,32,-15,226,0
918369,35,-13,233,0
918380,36,-11,234,0
918391,39,-13,234,0
918402,39,-15,230,0
918413,36,-15,228,0
918424,33,-13,224,0
918435,29,-17,222,0
918446,31,-23,220,0
918457,35,-27,218,0
918468,40,-25,219,0
918479,51,-26,218,0
918490,60,-29,216,0
918501,67,-30,215,0
918512,62,-23,215,0
918523,73,-24,213,0
918534,63,-15,216,0
918545,51,-8,222,0
918556,26,-12,229,0
918567,27,-17,233,0
918578,31,-20,234,0
918589,38,-24,227,0
918600,49,-27,224,0
918611,60,-25,221,0
918622,60,-16,221,0
918633,51,-4,222,0
918644,30,1,220,0
918655,6,2,221,0
918666,3,-7,231,0
918677,10,-16,233,0
918688,23,-23,232,0
918699,38,-30,228,0
918710,66,-32,220,0
918721,59,-18,221,0
918732,35,-10,215,0
918743,24,-16,225,0
918754,24,-17,239,0
918765,10,-13,240,0
918776,5,-21,233,0
918787,18,-36,228,0
918798,30,-42,227,0
918809,36,-41,226,0
918820,44,-32,228,0
918831,40,-15,239,0
918842,25,3,251,0
918853,16,2,258,0
918864,5,-21,242,0
918875,5,-27,237,0
918886,3,-31,234,0
918897,4,-32,234,0
918908,9,-30,244,0
918919,14,-19,260,0
918930,15,-12,272,0
918941,19,-14,275,0
918952,17,-16,267,0
918963,5,-19,252,0
918974,-1,-27,251,0
918985,-7,-32,257,0
918996,-3,-34,257,0
919007,4,-33,259,0
919018,22,-18,260,0
919029,27,-24,254,0
919040,28,-27,257,0
919051,31,-30,256,0
919062,32,-31,254,0
919073,36,-36,255,0
919084,44,-38,254,0
919095,51,-43,249,0
919106,58,-49,248,0
919117,60,-47,246,0
919128,55,-45,245,0
919139,50,-42,244,0
919150,46,-42,251,0
919161,42,-46,245,0
919172,47,-51,239,0
919183,43,-52,237,0
919194,55,-62,226,0
919205,60,-65,218,0
919216,61,-64,212,0
919227,64,-65,207,0
919238,68,-69,203,0
919249,72,-75,196,0
919260,74,-77,193,0
919271,75,-72,196,0
919282,78,-68,196,0
919293,87,-66,198,0
919304,97,-70,193,0
919315,118,-97,161,0
919326,127,-103,151,0
919337,129,-108,141,0
919348,141,-113,134,0
919359,154,-106,136,0
919370,161,-106,134,0
919381,168,-106,137,0
919392,170,-101,136,0
919403,157,-90,140,0
919414,143,-92,144,0
919425,121,-98,161,0
919436,87,-101,168,0
919447,79,-85,167,0
919458,86,-68,177,0
919469,117,-80,174,0
919480,115,-73,166,0
919491,126,-84,165,0
919502,148,-70,164,0
919513,162,-71,146,0
919524,181,-68,157,0
919535,195,-59,138,0
919546,204,-50,137,0
919557,247,-75,148,0
919568,290,-100,122,0
919579,273,-89,120,0
919590,257,-128,154,0
919601,264,-163,137,0
919612,268,-111,115,0
919623,245,-122,118,0
919634,228,-109,85,0
919645,213,-85,86,0
919656,223,-93,74,0
919667,209,-84,93,0
919678,197,-117,121,0
919689,190,-111,119,0
919700,174,-79,108,0
919711,170,-96,93,0
919722,167,-108,73,0
919733,139,-113,39,0
919744,125,-138,16,0
919755,120,-123,4,0
919766,110,-98,15,0
919777,98,-98,20,0
919788,81,-82,24,0
919799,78,-81,39,0
919810,65,-72,42,0
919821,54,-77,45,0
919832,76,-83,49,0
919843,117,-69,48,0
919854,167,-42,51,0
919865,208,-43,64,0
919876,247,-53,82,0
919887,273,-66,92,0
919898,274,-72,94,0
919909,260,-75,81,0
919920,251,-85,75,0
919931,232,-76,69,0
919942,223,-60,67,0
919953,214,-51,64,0
919964,200,-57,63,0
919975,185,-72,62,0
919986,169,-86,59,0
919997,158,-91,50,0
920008,154,-88,40,0
920019,169,-77,34,0
920030,182,-63,31,0
920041,207,-63,33,0
920052,234,-67,35,0
920063,253,-69,37,0
920074,253,-74,38,0
920085,252,-89,62,0
920096,254,-87,72,0
920107,261,-83,85,0
920118,275,-86,88,0
920129,290,-92,88,0
920140,291,-94,75,0
920151,282,-99,60,0
920162,264,-108,48,0
920173,245,-118,40,0
920184,231,-126,32,0
920195,227,-122,28,0
920206,223,-110,25,0
920217,229,-102,25,0
920228,239,-94,23,0
920239,237,-83,13,0
920250,262,-85,6,0
920261,273,-90,3,0
920272,288,-100,0,0
920283,309,-108,-1,0
920294,323,-109,-7,0
920305,333,-113,-20,0
