timestamp,accX,accY,accZ,step
399726,39,15,223,0
399737,39,11,217,0
399748,38,15,226,0
399759,37,16,227,0
399770,37,16,223,0
399781,38,20,231,0
399791,40,17,232,0
399801,38,18,230,0
399812,38,18,230,0
399823,39,15,227,0
399834,38,18,231,0
399845,38,17,228,0
399856,38,17,229,0
399866,39,16,230,0
399877,40,16,231,0
399888,38,15,232,0
399898,40,15,230,0
399909,41,13,231,0
399920,44,13,229,0
399931,46,16,225,0
399942,47,15,225,0
399953,47,17,226,0
399964,47,17,228,0
399975,47,15,229,0
399986,47,15,226,0
399997,46,15,227,0
400008,43,16,231,0
400019,43,17,234,0
400030,43,17,230,0
400041,44,15,233,0
400052,42,16,230,0
400063,42,14,231,0
400074,39,12,232,0
400085,39,12,233,0
400096,38,12,227,0
400107,35,12,230,0
400118,35,14,231,0
400129,34,13,228,0
400140,34,13,229,0
400151,35,15,228,0
400162,34,15,229,0
400173,33,13,228,0
400184,33,12,227,0
400195,36,15,226,0
400206,38,17,226,0
400217,40,17,227,0
400228,42,18,227,0
400239,43,17,228,0
400250,46,15,227,0
400261,50,10,227,0
400272,52,9,225,0
400283,56,10,226,0
400294,57,12,226,0
400305,61,11,228,0
400316,60,12,227,0
400327,57,13,225,0
400338,52,14,224,0
400349,47,15,226,0
400360,44,19,225,0
400371,42,19,229,0
400382,40,21,232,0
400393,40,19,232,0
400404,39,21,235,0
400415,39,19,232,0
400426,36,16,226,0
400437,36,19,224,0
400448,35,21,223,0
400459,34,18,224,0
400470,32,18,227,0
400481,33,17,229,0
400492,33,17,233,0
400503,34,23,234,0
400514,34,25,235,0
400525,37,29,234,0
400536,38,29,232,0
400547,33,29,228,0
400558,33,25,226,0
400569,30,23,224,0
400580,27,25,226,0
400591,25,28,233,0
400602,30,32,233,0
400613,34,34,232,0
400624,36,38,230,0
400635,38,39,230,0
400646,41,36,230,0
400657,43,31,231,0
400669,46,34,228,0
400680,46,34,223,0
400691,45,31,225,0
400702,48,34,224,0
400713,47,35,230,0
400724,46,36,234,0
400735,44,36,238,0
400746,43,38,240,0
400757,42,37,236,0
400768,40,34,234,0
400779,38,30,235,0
400790,37,32,230,0
400801,37,29,223,0
400812,37,18,223,0
400823,36,11,222,0
400834,32,12,223,0
400845,28,11,225,0
400856,27,10,227,0
400867,26,12,229,0
400878,27,14,230,0
400889,30,15,230,0
400900,30,17,233,0
400911,32,19,232,0
400922,31,22,227,0
400933,32,19,229,0
400944,32,16,229,0
400955,34,14,231,0
400966,33,15,229,0
400977,32,14,226,0
400988,32,13,225,0
400999,33,11,224,0
401010,34,8,227,0
401021,34,11,228,0
401032,34,12,229,0
401043,30,7,234,0
401054,25,8,236,0
401065,22,15,235,0
401076,19,17,234,0
401087,20,14,232,0
401098,22,10,233,0
401109,24,11,229,0
401120,28,10,226,0
401131,30,9,226,0
401142,32,11,227,0
401153,34,15,229,0
401164,33,15,231,0
401175,31,14,232,0
401186,31,11,234,0
401197,30,13,232,0
401208,27,12,232,0
401219,26,12,231,0
401230,27,12,231,0
401241,29,10,231,0
401252,30,11,230,0
401263,30,11,229,0
401274,32,11,230,0
401285,34,11,229,0
401296,37,12,229,0
401307,36,13,228,0
401318,38,13,229,0
401329,37,12,228,0
401340,36,13,228,0
401351,35,11,229,0
401362,33,13,229,0
401373,31,12,230,0
401384,29,12,232,0
401395,28,14,232,0
401406,23,13,230,0
401417,20,12,232,0
401428,18,12,230,0
401439,17,11,231,0
401450,18,12,232,0
401461,20,14,232,0
401472,22,15,231,0
401483,26,14,234,0
401494,32,13,236,0
401505,36,12,235,0
401516,41,14,232,0
401527,45,12,229,0
401538,46,10,230,0
401549,45,6,230,0
401560,47,6,228,0
401571,46,8,226,0
401582,46,8,227,0
401593,46,7,231,0
401604,48,6,235,0
401615,49,11,234,0
401626,49,14,235,0
401637,46,13,234,0
401648,46,9,233,0
401659,50,4,232,0
401670,53,4,232,0
401681,55,5,230,0
401692,54,3,229,0
401703,54,2,226,0
401714,57,1,226,0
401725,61,4,225,0
401736,60,2,227,0
401747,60,2,229,0
401758,60,5,230,0
401769,57,4,232,0
401780,51,1,230,0
401791,47,2,227,0
401802,44,9,231,0
401813,45,8,231,0
401824,42,2,231,0
401835,43,-2,229,0
401846,49,-9,226,0
401857,59,-13,223,0
401868,59,-4,228,0
401879,66,-1,230,0
401890,69,8,217,0
401901,65,3,200,0
401912,59,5,182,0
401923,54,10,173,0
401934,50,5,175,0
401945,45,5,186,0
401956,37,2,193,0
401967,34,0,195,0
401978,28,0,193,0
401989,10,3,185,0
402000,-7,1,188,0
402011,-30,2,186,0
402022,-39,-1,180,0
402033,-37,-6,180,0
402044,-22,-11,179,0
402055,2,-12,178,0
402066,43,-36,181,0
402077,56,-33,175,0
402088,56,-28,168,0
402099,58,-22,154,0
402110,59,-6,130,0
402121,62,-10,118,0
402132,68,-15,137,0
402143,69,-18,178,0
402154,73,-32,201,0
402165,69,-16,203,0
402176,44,-31,173,0
402187,26,-7,193,0
402198,1,-10,156,0
402209,1,1,141,0
402220,-5,-9,129,0
402231,7,0,167,0
402242,14,-5,186,0
402253,21,-17,194,0
402264,15,-33,198,0
402275,33,-42,189,0
402286,50,-19,175,0
402297,48,-18,187,0
402308,53,-13,201,0
402319,66,-6,219,0
402330,67,-5,229,0
402341,58,-20,212,0
402352,46,-10,226,0
402363,28,-17,216,0
402374,31,-32,212,0
402385,47,-43,213,0
402396,92,-22,223,0
402407,99,-20,226,0
402418,95,-12,236,0
402430,76,-17,241,0
402441,66,-26,250,0
402452,35,-28,246,0
402463,23,-46,238,0
402474,40,-41,237,0
402485,55,-34,247,0
402496,76,-34,254,0
402507,87,-43,251,0
402518,98,-41,255,0
402530,72,-44,263,0
402541,49,-38,258,0
402552,4,-25,267,0
402563,-25,-49,256,0
402574,3,-46,258,0
402585,27,-50,276,0
402596,58,-49,277,0
402607,67,-50,278,0
402618,68,-39,253,0
402629,47,-37,259,0
402640,19,-35,244,0
402651,5,-41,238,0
402662,-4,-48,231,0
402673,-15,-40,231,0
402684,-41,-25,230,0
402695,-3,-32,234,0
402706,8,-32,241,0
402717,18,-39,244,0
402728,18,-43,246,0
402739,12,-47,246,0
402750,5,-55,240,0
402761,3,-56,240,0
402772,2,-52,249,0
402783,-10,-42,258,0
402794,-18,-39,266,0
402805,-24,-47,270,0
402816,-30,-51,274,0
402827,-35,-61,262,0
402838,-17,-72,259,0
402849,-1,-73,269,0
402860,0,-70,271,0
402871,-7,-64,289,0
402882,-18,-56,303,0
402893,-32,-49,307,0
402904,-47,-44,306,0
402915,-53,-51,306,0
402926,-43,-66,313,0
402937,-33,-73,326,0
402948,-34,-73,340,0
402959,-41,-74,347,0
402970,-43,-72,348,0
402981,-50,-74,359,0
402992,-58,-73,373,0
403003,-56,-71,377,0
403014,-60,-69,378,0
403025,-55,-78,376,0
403036,-51,-95,381,0
403047,-49,-93,379,0
403058,-55,-79,380,0
403069,-57,-75,371,0
403080,-48,-70,353,0
403091,-41,-68,339,0
403102,-32,-72,325,0
403113,-22,-70,310,0
403124,-22,-68,302,0
403135,-11,-66,297,0
403146,-11,-63,291,0
403157,-8,-62,285,0
403168,-6,-55,276,0
403179,-2,-51,275,0
403190,1,-49,276,0
403201,10,-41,267,0
403212,19,-37,257,0
403223,24,-34,256,0
403234,26,-36,258,0
403245,32,-39,259,0
403256,35,-30,265,0
403267,34,-30,263,0
403278,33,-25,263,0
403289,31,-28,261,0
403300,27,-24,257,0
403311,21,-26,253,0
403322,22,-25,248,0
403333,21,-24,242,0
403344,28,-23,233,0
403355,27,-18,231,0
403366,17,-12,218,0
