timestamp,accX,accY,accZ,step
1260779,25,-4,228,0
1260789,29,-6,226,0
1260800,21,1,236,0
1260811,24,0,235,0
1260822,26,-5,230,0
1260832,27,-5,233,0
1260843,27,-6,235,0
1260853,27,-8,226,0
1260864,28,-6,228,0
1260874,27,-4,228,0
1260885,26,-3,228,0
1260896,28,0,235,0
1260907,27,-2,236,0
1260918,27,-3,233,0
1260929,30,-4,229,0
1260940,33,-5,231,0
1260950,36,-5,229,0
1260960,36,-4,229,0
1260971,37,-3,228,0
1260982,37,-4,227,0
1260993,39,-6,227,0
1261004,41,-6,228,0
1261015,41,-6,229,0
1261026,41,-7,227,0
1261037,41,-7,227,0
1261048,40,-6,228,0
1261058,40,-8,227,0
1261069,40,-6,228,0
1261080,39,-6,228,0
1261092,40,-3,232,0
1261103,40,-2,231,0
1261113,38,-3,232,0
1261124,38,-3,231,0
1261135,37,-4,228,0
1261146,39,-5,226,0
1261157,39,-4,226,0
1261168,38,-3,227,0
1261179,38,-2,231,0
1261191,37,-2,234,0
1261201,37,-5,233,0
1261212,36,-5,231,0
1261223,35,-4,228,0
1261234,35,-5,226,0
1261245,34,-5,229,0
1261256,33,-4,231,0
1261267,33,-3,229,0
1261278,31,-1,232,0
1261289,28,0,230,0
1261300,26,0,232,0
1261312,25,0,232,0
1261322,24,0,231,0
1261333,24,0,230,0
1261344,22,0,230,0
1261355,21,0,230,0
1261366,20,1,228,0
1261378,21,2,229,0
1261388,22,3,230,0
1261399,26,3,231,0
1261410,28,2,231,0
1261421,30,1,230,0
1261432,31,1,227,0
1261443,31,0,225,0
1261454,31,0,226,0
1261466,28,2,227,0
1261476,20,2,240,0
1261487,25,-6,256,0
1261498,38,-1,250,0
1261509,39,2,247,0
1261520,40,-2,247,0
1261531,47,-3,236,0
1261542,49,-5,229,0
1261553,51,-4,222,0
1261564,52,-6,215,0
1261575,54,-8,210,0
1261586,53,-9,210,0
1261597,51,-9,212,0
1261608,49,-8,215,0
1261619,50,-7,220,0
1261631,49,-5,223,0
1261642,49,-3,223,0
1261653,48,-6,222,0
1261664,46,-5,222,0
1261675,47,-6,223,0
1261686,47,-4,226,0
1261697,47,-4,228,0
1261708,46,-4,229,0
1261719,44,-4,232,0
1261730,44,-7,231,0
1261741,42,-6,232,0
1261753,40,-4,233,0
1261764,40,-4,232,0
1261775,39,-4,230,0
1261786,38,-8,228,0
1261797,35,-9,226,0
1261808,32,-5,225,0
1261819,32,-3,227,0
1261830,31,-4,229,0
1261841,30,-5,232,0
1261852,32,0,231,0
1261863,32,1,232,0
1261874,31,0,232,0
1261885,32,1,231,0
1261896,36,7,230,0
1261907,39,7,229,0
1261918,41,5,228,0
1261929,39,1,230,0
1261940,37,1,231,0
1261951,35,0,230,0
1261962,33,-1,230,0
1261973,33,0,229,0
1261984,32,1,227,0
1261995,31,0,228,0
1262006,28,-2,229,0
1262017,25,0,230,0
1262028,24,1,231,0
1262039,22,2,230,0
1262050,22,2,233,0
1262061,20,1,231,0
1262072,19,1,230,0
1262083,20,2,230,0
1262094,21,1,230,0
1262105,25,0,227,0
1262116,27,0,229,0
1262127,29,1,228,0
1262138,31,0,226,0
1262149,32,0,226,0
1262160,32,0,227,0
1262171,33,-1,227,0
1262182,33,-1,228,0
1262193,30,0,230,0
1262204,30,0,229,0
1262215,30,0,230,0
1262226,30,-2,230,0
1262237,31,-1,231,0
1262248,32,0,230,0
1262259,32,1,232,0
1262270,32,-3,229,0
1262281,31,-4,230,0
1262293,32,-5,232,0
1262303,32,-4,232,0
1262314,33,-6,233,0
1262325,34,-5,232,0
1262336,36,-6,233,0
1262347,38,-5,234,0
1262358,40,-6,232,0
1262369,41,-6,230,0
1262380,42,-8,228,0
1262392,40,-9,222,0
1262402,38,-7,222,0
1262413,35,-9,222,0
1262424,32,-10,220,0
1262435,28,-9,223,0
1262446,28,-10,224,0
1262457,27,-9,228,0
1262468,27,-5,228,0
1262479,25,-5,228,0
1262491,22,-4,230,0
1262501,23,-4,232,0
1262512,22,-3,234,0
1262523,23,-2,235,0
1262534,22,-1,235,0
1262545,22,-1,232,0
1262556,23,-1,232,0
1262567,24,-2,232,0
1262578,25,-3,233,0
1262589,25,-2,233,0
1262600,26,-3,231,0
1262611,25,-3,231,0
1262622,25,-3,229,0
1262633,26,-7,228,0
1262644,25,-7,229,0
1262655,25,-4,232,0
1262666,25,-3,233,0
1262678,24,-5,233,0
1262688,24,-6,231,0
1262699,26,-5,230,0
1262710,24,-5,229,0
1262721,23,-5,226,0
1262732,23,-6,227,0
1262743,23,-6,228,0
1262754,22,-4,229,0
1262766,20,-5,230,0
1262776,18,-5,232,0
1262787,17,-5,231,0
1262798,17,-5,233,0
1262809,16,-6,232,0
1262820,15,-7,232,0
1262832,14,-7,230,0
1262843,15,-7,230,0
1262854,12,-8,230,0
1262866,11,-8,232,0
1262876,13,-11,231,0
1262887,16,-7,231,0
1262898,14,-6,229,0
1262909,11,-4,229,0
1262920,7,-12,238,0
1262931,9,-9,239,0
1262942,12,-11,238,0
1262953,12,-10,236,0
1262964,17,-11,235,0
1262975,21,-10,229,0
1262986,20,-7,228,0
1262997,22,-3,231,0
1263008,22,-1,228,0
1263019,19,-2,234,0
1263030,16,-2,234,0
1263041,17,0,234,0
1263052,21,3,230,0
1263063,23,0,228,0
1263074,21,4,225,0
1263085,27,13,226,0
1263096,29,14,228,0
1263107,30,9,230,0
1263118,33,11,229,0
1263130,34,14,230,0
1263141,35,11,227,0
1263152,34,2,224,0
1263163,36,2,220,0
1263174,38,0,217,0
1263185,35,-5,217,0
1263196,33,-5,221,0
1263207,31,-3,224,0
